IndividualRate,PlanId_2015,FIPSCode,RatingAreaId
186.67,16842FL0120044,12015,Rating Area 8
183.42,16842FL0120044,12017,Rating Area 9
183.64,16842FL0120044,12019,Rating Area 10
192.3,16842FL0120044,12021,Rating Area 11
184.72,16842FL0120044,12031,Rating Area 15
191.87,16842FL0120044,12033,Rating Area 16
162.85,16842FL0120044,12045,Rating Area 22
173.89,16842FL0120044,12053,Rating Area 26
191.22,16842FL0120044,12055,Rating Area 27
175.19,16842FL0120044,12057,Rating Area 28
178.87,16842FL0120044,12061,Rating Area 30
172.38,16842FL0120044,12069,Rating Area 34
172.81,16842FL0120044,12083,Rating Area 41
190.35,16842FL0120044,12085,Rating Area 42
230.42,16842FL0120044,12086,Rating Area 43
168.48,16842FL0120044,12091,Rating Area 46
198.15,16842FL0120044,12095,Rating Area 48
204.21,16842FL0120044,12097,Rating Area 49
218.5,16842FL0120044,12099,Rating Area 50
181.04,16842FL0120044,12101,Rating Area 51
184.51,16842FL0120044,12103,Rating Area 52
213.31,16842FL0120044,12105,Rating Area 53
196.42,16842FL0120044,12109,Rating Area 58
195.33,16842FL0120044,12113,Rating Area 55
190.35,16842FL0120044,12115,Rating Area 56
210.28,16842FL0120044,12117,Rating Area 57
165.88,16842FL0120044,12119,Rating Area 60
185.59,16842FL0120044,12131,Rating Area 66
199.53,16842FL0120044,12003,Rating Area 2
176.3,16842FL0120044,12005,Rating Area 3
197.48,16842FL0120044,12009,Rating Area 5
242.58,16842FL0120044,12011,Rating Area 6
196.35,16842FL0120044,12015,Rating Area 8
192.93,16842FL0120044,12017,Rating Area 9
193.16,16842FL0120044,12019,Rating Area 10
202.27,16842FL0120044,12021,Rating Area 11
194.3,16842FL0120044,12031,Rating Area 15
201.81,16842FL0120044,12033,Rating Area 16
171.29,16842FL0120044,12045,Rating Area 22
182.91,16842FL0120044,12053,Rating Area 26
201.13,16842FL0120044,12055,Rating Area 27
184.27,16842FL0120044,12057,Rating Area 28
188.15,16842FL0120044,12061,Rating Area 30
181.31,16842FL0120044,12069,Rating Area 34
181.77,16842FL0120044,12083,Rating Area 41
200.22,16842FL0120044,12085,Rating Area 42
242.36,16842FL0120044,12086,Rating Area 43
177.21,16842FL0120044,12091,Rating Area 46
208.42,16842FL0120044,12095,Rating Area 48
214.8,16842FL0120044,12097,Rating Area 49
229.83,16842FL0120044,12099,Rating Area 50
190.42,16842FL0120044,12101,Rating Area 51
194.07,16842FL0120044,12103,Rating Area 52
224.36,16842FL0120044,12105,Rating Area 53
206.6,16842FL0120044,12109,Rating Area 58
205.46,16842FL0120044,12113,Rating Area 55
200.22,16842FL0120044,12115,Rating Area 56
221.17,16842FL0120044,12117,Rating Area 57
174.48,16842FL0120044,12119,Rating Area 60
195.21,16842FL0120044,12131,Rating Area 66
255.39,16842FL0120076,12003,Rating Area 2
225.65,16842FL0120076,12005,Rating Area 3
252.77,16842FL0120076,12009,Rating Area 5
310.49,16842FL0120076,12011,Rating Area 6
251.31,16842FL0120076,12015,Rating Area 8
246.94,16842FL0120076,12017,Rating Area 9
247.23,16842FL0120076,12019,Rating Area 10
258.89,16842FL0120076,12021,Rating Area 11
248.69,16842FL0120076,12031,Rating Area 15
258.31,16842FL0120076,12033,Rating Area 16
219.24,16842FL0120076,12045,Rating Area 22
234.11,16842FL0120076,12053,Rating Area 26
257.43,16842FL0120076,12055,Rating Area 27
235.86,16842FL0120076,12057,Rating Area 28
240.81,16842FL0120076,12061,Rating Area 30
232.07,16842FL0120076,12069,Rating Area 34
232.65,16842FL0120076,12083,Rating Area 41
256.27,16842FL0120076,12085,Rating Area 42
310.2,16842FL0120076,12086,Rating Area 43
226.82,16842FL0120076,12091,Rating Area 46
266.76,16842FL0120076,12095,Rating Area 48
274.93,16842FL0120076,12097,Rating Area 49
294.17,16842FL0120076,12099,Rating Area 50
243.73,16842FL0120076,12101,Rating Area 51
248.39,16842FL0120076,12103,Rating Area 52
287.17,16842FL0120076,12105,Rating Area 53
264.43,16842FL0120076,12109,Rating Area 58
262.97,16842FL0120076,12113,Rating Area 55
256.27,16842FL0120076,12115,Rating Area 56
283.09,16842FL0120076,12117,Rating Area 57
223.32,16842FL0120076,12119,Rating Area 60
249.85,16842FL0120076,12131,Rating Area 66
235.25,16842FL0120072,12003,Rating Area 2
207.86,16842FL0120072,12005,Rating Area 3
232.84,16842FL0120072,12009,Rating Area 5
286.01,16842FL0120072,12011,Rating Area 6
231.49,16842FL0120072,12015,Rating Area 8
227.47,16842FL0120072,12017,Rating Area 9
227.73,16842FL0120072,12019,Rating Area 10
238.48,16842FL0120072,12021,Rating Area 11
229.08,16842FL0120072,12031,Rating Area 15
237.94,16842FL0120072,12033,Rating Area 16
201.95,16842FL0120072,12045,Rating Area 22
215.65,16842FL0120072,12053,Rating Area 26
237.13,16842FL0120072,12055,Rating Area 27
217.26,16842FL0120072,12057,Rating Area 28
221.83,16842FL0120072,12061,Rating Area 30
213.77,16842FL0120072,12069,Rating Area 34
214.31,16842FL0120072,12083,Rating Area 41
236.06,16842FL0120072,12085,Rating Area 42
285.74,16842FL0120072,12086,Rating Area 43
208.94,16842FL0120072,12091,Rating Area 46
245.73,16842FL0120072,12095,Rating Area 48
253.25,16842FL0120072,12097,Rating Area 49
270.97,16842FL0120072,12099,Rating Area 50
224.51,16842FL0120072,12101,Rating Area 51
228.81,16842FL0120072,12103,Rating Area 52
264.53,16842FL0120072,12105,Rating Area 53
243.58,16842FL0120072,12109,Rating Area 58
242.24,16842FL0120072,12113,Rating Area 55
236.06,16842FL0120072,12115,Rating Area 56
260.77,16842FL0120072,12117,Rating Area 57
205.71,16842FL0120072,12119,Rating Area 60
230.15,16842FL0120072,12131,Rating Area 66
195.58,16842FL0120044,12003,Rating Area 2
172.81,16842FL0120044,12005,Rating Area 3
193.57,16842FL0120044,12009,Rating Area 5
237.77,16842FL0120044,12011,Rating Area 6
192.45,16842FL0120044,12015,Rating Area 8
189.1,16842FL0120044,12017,Rating Area 9
189.33,16842FL0120044,12019,Rating Area 10
198.26,16842FL0120044,12021,Rating Area 11
190.44,16842FL0120044,12031,Rating Area 15
197.81,16842FL0120044,12033,Rating Area 16
167.89,16842FL0120044,12045,Rating Area 22
