BeginPrimaryCareCostSharingAfterNumberOfVisits,IsHSAEligible,IsNewPlan,IsReferralRequiredForSpecialist,NationalNetwork,OutOfServiceAreaCoverage,PlanType,StandardComponentId,StateCode
0,No,New,No,No,No,POS,34996NV0260002,NV
0,No,New,No,No,No,POS,34996NV0260002,NV
0,No,Existing,No,No,No,POS,34996NV0030003,NV
0,No,Existing,No,No,No,POS,34996NV0030003,NV
0,No,New,No,No,No,POS,34996NV0260003,NV
0,No,New,No,No,No,POS,34996NV0260003,NV
0,No,Existing,No,No,No,POS,34996NV0030003,NV
0,No,Existing,No,No,No,POS,34996NV0030004,NV
0,No,Existing,No,No,No,POS,34996NV0030004,NV
0,No,Existing,No,No,No,POS,34996NV0030004,NV
0,No,Existing,No,No,No,POS,34996NV0030004,NV
0,No,Existing,No,No,No,POS,34996NV0030005,NV
0,No,Existing,No,No,No,POS,34996NV0030005,NV
0,No,Existing,No,No,No,POS,34996NV0030005,NV
0,No,Existing,No,No,No,POS,34996NV0030005,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,Existing,No,No,No,POS,34996NV0030006,NV
0,No,New,No,No,No,POS,34996NV0040003,NV
0,No,New,No,No,No,POS,34996NV0040003,NV
0,No,New,No,No,No,POS,34996NV0040003,NV
0,No,New,No,No,No,POS,34996NV0040003,NV
0,No,Existing,No,No,No,POS,34996NV0040001,NV
0,No,Existing,No,No,No,POS,34996NV0040001,NV
0,No,Existing,No,No,No,POS,34996NV0040001,NV
0,No,Existing,No,No,No,POS,34996NV0040001,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,Existing,No,No,No,POS,34996NV0040002,NV
0,No,New,No,No,No,POS,34996NV0230001,NV
0,No,New,No,No,No,POS,34996NV0230001,NV
0,No,New,No,No,No,POS,34996NV0230001,NV
0,No,New,No,No,No,POS,34996NV0230001,NV
0,No,New,No,No,No,POS,34996NV0230002,NV
0,No,New,No,No,No,POS,34996NV0230002,NV
0,No,New,No,No,No,POS,34996NV0230002,NV
0,No,New,No,No,No,POS,34996NV0230002,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,New,No,No,No,POS,34996NV0230003,NV
0,No,Existing,No,No,No,POS,34996NV0010003,NV
0,No,Existing,No,No,No,POS,34996NV0050003,NV
0,No,Existing,No,No,No,POS,34996NV0050003,NV
0,No,Existing,No,No,No,POS,34996NV0010003,NV
0,No,Existing,No,No,No,POS,34996NV0010003,NV
0,No,New,No,No,No,POS,34996NV0060004,NV
0,No,New,No,No,No,POS,34996NV0060004,NV
0,No,Existing,No,No,No,POS,34996NV0010003,NV
0,No,Existing,No,No,No,POS,34996NV0060001,NV
0,No,Existing,No,No,No,POS,34996NV0010004,NV
0,No,Existing,No,No,No,POS,34996NV0010004,NV
0,No,Existing,No,No,No,POS,34996NV0060001,NV
0,No,Existing,No,No,No,POS,34996NV0060002,NV
0,No,New,No,No,No,POS,34996NV0020010,NV
0,No,New,No,No,No,POS,34996NV0020010,NV
0,No,Existing,No,No,No,POS,34996NV0060002,NV
0,No,New,No,No,No,POS,34996NV0020010,NV
0,Yes,Existing,No,No,No,POS,34996NV0060003,NV
0,Yes,Existing,No,No,No,POS,34996NV0060003,NV
0,No,New,No,No,No,POS,34996NV0020010,NV
0,No,New,No,No,No,POS,34996NV0060008,NV
0,No,Existing,No,No,No,POS,34996NV0020001,NV
0,No,Existing,No,No,No,POS,34996NV0020001,NV
0,No,New,No,No,No,POS,34996NV0060008,NV
0,No,Existing,No,No,No,POS,34996NV0060005,NV
0,No,Existing,No,No,No,POS,34996NV0020001,NV
0,No,Existing,No,No,No,POS,34996NV0020001,NV
0,No,Existing,No,No,No,POS,34996NV0060005,NV
0,No,Existing,No,No,No,POS,34996NV0060006,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,No,Existing,No,No,No,POS,34996NV0060006,NV
0,Yes,Existing,No,No,No,POS,34996NV0060007,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,Yes,Existing,No,No,No,POS,34996NV0060007,NV
0,Yes,New,No,No,No,POS,34996NV0270001,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,Yes,New,No,No,No,POS,34996NV0270001,NV
0,Yes,New,No,No,No,POS,34996NV0270003,NV
0,No,Existing,No,No,No,POS,34996NV0020002,NV
0,Yes,New,No,No,No,POS,34996NV0020003,NV
0,Yes,New,No,No,No,POS,34996NV0270003,NV
0,Yes,New,No,No,No,POS,34996NV0020003,NV
0,Yes,New,No,No,No,POS,34996NV0020003,NV
0,Yes,New,No,No,No,POS,34996NV0020003,NV
0,No,Existing,No,No,No,POS,34996NV0020004,NV
0,No,Existing,No,No,No,POS,34996NV0020004,NV
0,No,New,No,No,No,POS,34996NV0020009,NV
0,No,New,No,No,No,POS,34996NV0020009,NV
0,No,New,No,No,No,POS,34996NV0020009,NV
0,No,New,No,No,No,POS,34996NV0020009,NV
0,No,Existing,No,No,No,POS,34996NV0020005,NV
0,No,Existing,No,No,No,POS,34996NV0020005,NV
0,No,Existing,No,No,No,POS,34996NV0020005,NV
0,No,Existing,No,No,No,POS,34996NV0020005,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,No,Existing,No,No,No,POS,34996NV0020006,NV
0,Yes,New,No,No,No,POS,34996NV0020007,NV
0,Yes,New,No,No,No,POS,34996NV0020007,NV
0,Yes,New,No,No,No,POS,34996NV0020007,NV
0,Yes,New,No,No,No,POS,34996NV0020007,NV
0,No,Existing,No,No,No,POS,34996NV0020008,NV
0,No,Existing,No,No,No,POS,34996NV0020008,NV
0,Yes,New,No,No,No,POS,34996NV0240001,NV
0,Yes,New,No,No,No,POS,34996NV0240001,NV
